 2016-05-31 15:20:29,127 [P588/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.0 application starting on BUKKAKA-PC
 2016-05-31 15:20:29,167 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-05-31 15:20:29,183 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 16ms)
 2016-05-31 15:20:29,255 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-05-31 15:20:29,679 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 424ms)
 2016-05-31 15:20:29,703 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-05-31 15:20:29,708 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 5ms)
 2016-05-31 15:20:29,709 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-05-31 15:20:29,716 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 7ms)
 2016-05-31 15:20:29,733 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-05-31 15:20:29,739 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 5ms)
 2016-05-31 15:20:29,740 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-05-31 15:20:29,746 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 5ms)
 2016-05-31 15:20:29,803 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-05-31 15:20:29,807 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 4ms)
 2016-05-31 15:20:29,807 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-05-31 15:20:29,814 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 5ms)
 2016-05-31 15:20:31,449 [P588/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-05-31 15:20:31,895 [P588/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-05-31 15:20:31,924 [P588/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-05-31 15:20:32,142 [P588/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will build its caches and indexes, and then adjust its last synced Id to the latest found in the database and maintain cache updates based on that Id.
 2016-05-31 15:20:32,347 [P588/D2/T1] INFO  umbraco.content - Load Xml from file...
 2016-05-31 15:20:32,351 [P588/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2016-05-31 15:20:32,356 [P588/D2/T1] INFO  umbraco.content - Loading content from database...
 2016-05-31 15:20:36,668 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-05-31 15:20:36,679 [P588/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 11ms)
 2016-05-31 15:20:37,614 [P588/D2/T10] INFO  umbraco.content - Save Xml to file...
 2016-05-31 15:20:37,644 [P588/D2/T12] INFO  umbraco.content - Saved Xml to file.
 2016-05-31 15:20:40,488 [P588/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-05-31 15:20:40,502 [P588/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-05-31 15:20:40,502 [P588/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-05-31 15:21:32,720 [P588/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 63762ms)
 2016-05-31 15:21:33,750 [P588/D2/T9] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:41349/umbraco (UmbracoModule request)
 2016-05-31 15:21:41,669 [P588/D2/T9] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
